year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2013,9,B6,JetBlue Airways,SJU,"San Juan, PR: Luis Munoz Marin International",789.00,142.00,49.07,3.61,50.24,1.75,37.32,0.00,2.00,6536.00,2351.00,252.00,1469.00,59.00,2405.00
2013,9,B6,JetBlue Airways,SFO,"San Francisco, CA: San Francisco International",349.00,67.00,17.36,2.22,33.95,0.00,13.46,1.00,3.00,4059.00,896.00,243.00,1952.00,0.00,968.00
2013,9,B6,JetBlue Airways,BQN,"Aguadilla, PR: Rafael Hernandez",55.00,6.00,2.94,0.00,3.06,0.00,0.00,1.00,0.00,324.00,182.00,0.00,142.00,0.00,0.00
2013,9,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",3341.00,601.00,143.28,6.92,245.94,0.46,204.40,14.00,8.00,41383.00,9315.00,494.00,15221.00,11.00,16342.00
2013,9,B6,JetBlue Airways,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",83.00,11.00,5.64,0.00,4.07,0.00,1.29,0.00,0.00,876.00,611.00,0.00,153.00,0.00,112.00
2013,9,B6,JetBlue Airways,BOS,"Boston, MA: Logan International",3024.00,457.00,110.02,5.68,174.35,1.16,165.79,9.00,4.00,28543.00,8043.00,444.00,7514.00,115.00,12427.00
2013,9,B6,JetBlue Airways,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1109.00,167.00,51.80,1.67,44.60,0.98,67.94,2.00,1.00,10364.00,3664.00,125.00,1399.00,20.00,5156.00
2013,9,B6,JetBlue Airways,BDL,"Hartford, CT: Bradley International",144.00,32.00,8.88,1.85,15.30,0.00,5.97,0.00,0.00,1490.00,387.00,53.00,662.00,0.00,388.00
2013,9,B6,JetBlue Airways,LGA,"New York, NY: LaGuardia",473.00,118.00,18.24,3.87,71.16,0.56,24.18,1.00,5.00,8177.00,1102.00,181.00,5156.00,20.00,1718.00
2013,9,B6,JetBlue Airways,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",218.00,30.00,14.39,1.03,6.90,0.00,7.67,0.00,0.00,2305.00,882.00,74.00,253.00,0.00,1096.00
2013,9,B6,JetBlue Airways,DEN,"Denver, CO: Denver International",85.00,15.00,1.48,0.02,3.43,0.24,9.83,0.00,1.00,977.00,56.00,2.00,156.00,29.00,734.00
2013,9,B6,JetBlue Airways,BUF,"Buffalo, NY: Buffalo Niagara International",418.00,57.00,27.46,3.18,16.90,0.00,9.46,3.00,0.00,3447.00,1774.00,249.00,816.00,0.00,608.00
2013,9,B6,JetBlue Airways,LGB,"Long Beach, CA: Long Beach Airport",726.00,126.00,30.07,0.35,19.07,0.00,76.50,2.00,2.00,8338.00,2536.00,23.00,810.00,0.00,4969.00
2013,9,B6,JetBlue Airways,SEA,"Seattle, WA: Seattle/Tacoma International",240.00,48.00,22.25,1.17,13.80,0.00,10.79,0.00,1.00,2745.00,1179.00,200.00,461.00,0.00,905.00
2013,9,B6,JetBlue Airways,ORD,"Chicago, IL: Chicago O'Hare International",174.00,30.00,6.15,0.58,17.42,0.00,5.85,0.00,1.00,2618.00,512.00,174.00,1366.00,0.00,566.00
2013,9,B6,JetBlue Airways,HOU,"Houston, TX: William P Hobby",116.00,16.00,3.47,0.00,11.61,0.00,0.93,0.00,0.00,503.00,146.00,0.00,283.00,0.00,74.00
2013,9,B6,JetBlue Airways,STT,"Charlotte Amalie, VI: Cyril E King",61.00,10.00,5.35,1.00,0.99,0.00,2.66,0.00,0.00,790.00,271.00,54.00,27.00,0.00,438.00
2013,9,B6,JetBlue Airways,AUS,"Austin, TX: Austin - Bergstrom International",204.00,24.00,9.51,1.00,4.43,0.67,8.39,1.00,0.00,1375.00,357.00,64.00,185.00,14.00,755.00
2013,9,B6,JetBlue Airways,RSW,"Fort Myers, FL: Southwest Florida International",206.00,25.00,12.26,0.00,6.63,0.63,5.48,0.00,0.00,1134.00,740.00,0.00,198.00,20.00,176.00
2013,9,B6,JetBlue Airways,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",394.00,67.00,32.27,0.74,14.74,0.02,19.23,1.00,3.00,4355.00,2151.00,132.00,470.00,1.00,1601.00
2013,9,B6,JetBlue Airways,PVD,"Providence, RI: Theodore Francis Green State",83.00,16.00,4.55,0.67,7.73,0.00,3.04,0.00,0.00,855.00,260.00,31.00,409.00,0.00,155.00
2013,9,B6,JetBlue Airways,DCA,"Washington, DC: Ronald Reagan Washington National",513.00,80.00,27.61,4.04,29.28,1.26,17.80,0.00,0.00,5017.00,1717.00,348.00,1603.00,107.00,1242.00
2013,9,B6,JetBlue Airways,TPA,"Tampa, FL: Tampa International",401.00,59.00,26.67,0.91,11.89,1.35,18.18,0.00,0.00,3658.00,1567.00,172.00,458.00,175.00,1286.00
2013,9,B6,JetBlue Airways,CLT,"Charlotte, NC: Charlotte Douglas International",116.00,7.00,2.91,0.00,2.57,0.00,1.53,0.00,1.00,711.00,356.00,0.00,89.00,0.00,266.00
2013,9,B6,JetBlue Airways,PDX,"Portland, OR: Portland International",124.00,22.00,7.30,1.00,7.87,0.00,5.83,0.00,0.00,1218.00,607.00,29.00,228.00,0.00,354.00
2013,9,B6,JetBlue Airways,RIC,"Richmond, VA: Richmond International",127.00,15.00,4.80,0.00,3.37,0.00,6.83,0.00,0.00,864.00,337.00,0.00,115.00,0.00,412.00
2013,9,B6,JetBlue Airways,ACK,"Nantucket, MA: Nantucket Memorial",57.00,9.00,3.09,1.97,2.98,0.00,0.97,0.00,0.00,378.00,103.00,139.00,106.00,0.00,30.00
2013,9,B6,JetBlue Airways,JAX,"Jacksonville, FL: Jacksonville International",157.00,19.00,5.28,1.09,6.55,0.58,5.50,0.00,1.00,859.00,357.00,50.00,134.00,11.00,307.00
2013,9,B6,JetBlue Airways,LAS,"Las Vegas, NV: McCarran International",302.00,65.00,29.61,0.97,19.28,0.00,15.14,0.00,1.00,3635.00,1736.00,35.00,867.00,0.00,997.00
2013,9,B6,JetBlue Airways,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",86.00,9.00,3.17,0.00,3.32,0.00,2.52,0.00,2.00,606.00,295.00,0.00,133.00,0.00,178.00
2013,9,B6,JetBlue Airways,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",163.00,12.00,4.12,0.00,3.46,0.00,4.42,1.00,0.00,863.00,206.00,0.00,344.00,0.00,313.00
2013,9,B6,JetBlue Airways,PWM,"Portland, ME: Portland International Jetport",111.00,15.00,7.20,0.04,2.68,0.00,5.08,0.00,0.00,692.00,293.00,4.00,79.00,0.00,316.00
2013,9,B6,JetBlue Airways,IAD,"Washington, DC: Washington Dulles International",215.00,37.00,16.06,0.00,7.44,0.00,13.50,1.00,0.00,2399.00,962.00,0.00,418.00,0.00,1019.00
2013,9,B6,JetBlue Airways,OAK,"Oakland, CA: Metropolitan Oakland International",144.00,20.00,11.53,0.00,2.41,0.00,6.06,1.00,0.00,1517.00,1038.00,0.00,102.00,0.00,377.00
2013,9,B6,JetBlue Airways,LAX,"Los Angeles, CA: Los Angeles International",273.00,37.00,16.18,0.28,11.08,0.00,9.46,0.00,1.00,2199.00,1067.00,43.00,552.00,0.00,537.00
2013,9,B6,JetBlue Airways,EWR,"Newark, NJ: Newark Liberty International",478.00,101.00,27.07,1.64,46.41,1.79,24.10,1.00,4.00,6260.00,1555.00,90.00,2662.00,123.00,1830.00
2013,9,B6,JetBlue Airways,BTV,"Burlington, VT: Burlington International",119.00,22.00,10.83,0.53,4.71,0.00,5.94,0.00,0.00,1265.00,604.00,164.00,132.00,0.00,365.00
2013,9,B6,JetBlue Airways,SLC,"Salt Lake City, UT: Salt Lake City International",90.00,17.00,9.50,0.00,2.04,0.00,5.46,0.00,0.00,1282.00,696.00,0.00,153.00,0.00,433.00
2013,9,B6,JetBlue Airways,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",96.00,8.00,2.42,0.03,2.15,0.00,3.39,0.00,0.00,618.00,136.00,7.00,94.00,0.00,381.00
